URN,town,county,year,att8_score
136186,Norwich,NORFOLK,2023-2024,44.5
135250,Norwich,NORFOLK,2023-2024,16
138829,Norwich,NORFOLK,2023-2024,45
140557,King's Lynn,NORFOLK,2023-2024,41.2
142058,Norwich,NORFOLK,2023-2024,38
121246,Thetford,NORFOLK,2023-2024,4.7
137621,Sheringham,NORFOLK,2023-2024,44.2
143520,Hunstanton,NORFOLK,2023-2024,39.9
136515,King's Lynn,NORFOLK,2023-2024,46.7
144359,Norwich,NORFOLK,2023-2024,41.7
141395,Norwich,NORFOLK,2023-2024,43.7
139487,Norwich,NORFOLK,2023-2024,47.9
136204,Thetford,NORFOLK,2023-2024,38.9
121245,Thetford,NORFOLK,2023-2024,35.4
143278,Norwich,NORFOLK,2023-2024,49.4
141086,Norwich,NORFOLK,2023-2024,47.1
137949,Thetford,NORFOLK,2023-2024,45.3
138138,Terrington St Clement,NORFOLK,2023-2024,8
144769,Norwich,NORFOLK,2023-2024,42.7
136481,Wymondham,NORFOLK,2023-2024,55.5
137461,Wymondham,NORFOLK,2023-2024,54.4
141236,Leiston,SUFFOLK,2023-2024,40.6
137459,Lowestoft,SUFFOLK,2023-2024,0.8
138274,Beccles,SUFFOLK,2023-2024,30.9
142759,Lowestoft,SUFFOLK,2023-2024,46.4
124879,Halesworth,SUFFOLK,2023-2024,9.4
138250,Brandon,SUFFOLK,2023-2024,38
124893,Bury St Edmunds,SUFFOLK,2023-2024,4.8
136998,Bungay,SUFFOLK,2023-2024,46
136990,Bury St Edmunds,SUFFOLK,2023-2024,46.2
148541,Bungay,SUFFOLK,2023-2024,19.1
138162,Haverhill,SUFFOLK,2023-2024,41.1
124890,Ipswich,SUFFOLK,2023-2024,7.6
138373,Ipswich,SUFFOLK,2023-2024,35.5
139732,Haverhill,SUFFOLK,2023-2024,25.9
144214,Ipswich,SUFFOLK,2023-2024,44.1
136827,Ipswich,SUFFOLK,2023-2024,49.2
124886,Culford,SUFFOLK,2023-2024,28.2
136416,Stowmarket,SUFFOLK,2023-2024,55.4
137218,Colchester,SUFFOLK,2023-2024,47.4
137134,Lowestoft,SUFFOLK,2023-2024,41.6
136834,Woodbridge,SUFFOLK,2023-2024,45.5
137321,Felixstowe,SUFFOLK,2023-2024,35.8
124892,Stowmarket,SUFFOLK,2023-2024,37
124884,Woodbridge,SUFFOLK,2023-2024,47.2
136918,Ipswich,SUFFOLK,2023-2024,44.6
136271,Eye,SUFFOLK,2023-2024,51.5
137208,Ipswich,SUFFOLK,2023-2024,38.4
136453,Ipswich,SUFFOLK,2023-2024,35.7
124888,NA,SUFFOLK,2023-2024,40.6
124881,Ipswich,SUFFOLK,2023-2024,70.5
140047,Ixworth,SUFFOLK,2023-2024,36.4
136969,Ipswich,SUFFOLK,2023-2024,50.6
124856,Bury St Edmunds,SUFFOLK,2023-2024,42.9
139867,Mildenhall,SUFFOLK,2023-2024,39.8
146332,Ipswich,SUFFOLK,2023-2024,6.2
140669,Newmarket,SUFFOLK,2023-2024,42.5
124840,Ipswich,SUFFOLK,2023-2024,51.2
127003,Mildenhall,SUFFOLK,2023-2024,6.2
134480,Colchester,SUFFOLK,2023-2024,51.8
139403,Lowestoft,SUFFOLK,2023-2024,35.7
137674,Ipswich,SUFFOLK,2023-2024,38.9
138506,Sudbury,SUFFOLK,2023-2024,41.3
146909,Lowestoft,SUFFOLK,2023-2024,39.1
137433,Bury St Edmunds,SUFFOLK,2023-2024,0.9
124889,Ipswich,SUFFOLK,2023-2024,60.5
137849,Ipswich,SUFFOLK,2023-2024,48.9
149285,Bury St Edmunds,SUFFOLK,2023-2024,51.1
124868,Southwold,SUFFOLK,2023-2024,42.6
124883,Ipswich,SUFFOLK,2023-2024,46
136322,Haverhill,SUFFOLK,2023-2024,43.2
138273,Saxmundham,SUFFOLK,2023-2024,32
147849,Ipswich,SUFFOLK,2023-2024,1.6
137055,Beccles,SUFFOLK,2023-2024,46.1
124865,Sudbury,SUFFOLK,2023-2024,35.8
140032,Ipswich,SUFFOLK,2023-2024,32.7
136757,Sudbury,SUFFOLK,2023-2024,47.4
145055,Stowmarket,SUFFOLK,2023-2024,45.4
143362,Stowmarket,SUFFOLK,2023-2024,43.4
137901,Eye,SUFFOLK,2023-2024,45.9
149151,Lowestoft,SUFFOLK,2023-2024,0.8
140969,Bury St. Edmunds,SUFFOLK,2023-2024,47.5
141639,Sudbury,SUFFOLK,2023-2024,48.4
136782,Woodbridge,SUFFOLK,2023-2024,48.8
124802,Bury St Edmunds,SUFFOLK,2023-2024,44.4
139288,Ipswich,SUFFOLK,2023-2024,41.6
148058,Suffolk,SUFFOLK,2023-2024,13.4
124887,Woodbridge,SUFFOLK,2023-2024,40.1
138758,Norwich,NORFOLK,2024-2025,46.9
135066,Norwich,NORFOLK,2024-2025,18.9
145089,Wells-next-the-Sea,NORFOLK,2024-2025,45.4
121250,Norwich,NORFOLK,2024-2025,21.1
140534,Attleborough,NORFOLK,2024-2025,41.4
121229,NA,NORFOLK,2024-2025,6.5
121164,Norwich,NORFOLK,2024-2025,45
146063,Norwich,NORFOLK,2024-2025,46.8
141331,Great Yarmouth,NORFOLK,2024-2025,49.4
135904,Norwich,NORFOLK,2024-2025,35.2
141269,Norwich,NORFOLK,2024-2025,50.4
140364,Great Yarmouth,NORFOLK,2024-2025,35.9
137431,Cromer,NORFOLK,2024-2025,48.1
144316,Dereham,NORFOLK,2024-2025,47.4
137092,Diss,NORFOLK,2024-2025,46.6
145196,Downham Market,NORFOLK,2024-2025,43.8
148859,Fakenham,NORFOLK,2024-2025,7.1
139572,Fakenham,NORFOLK,2024-2025,40.9
150265,King's Lynn,NORFOLK,2024-2025,9.5
145501,Great Yarmouth,NORFOLK,2024-2025,42
145776,Norwich,NORFOLK,2024-2025,50.6
135859,Norwich,NORFOLK,2024-2025,0.8
142883,Great Yarmouth,NORFOLK,2024-2025,38.6
121222,NA,NORFOLK,2024-2025,41.6
149197,Harleston,NORFOLK,2024-2025,42.7
138039,Norwich,NORFOLK,2024-2025,40.3
140188,Norwich,NORFOLK,2024-2025,59
142059,Norwich,NORFOLK,2024-2025,46.5
139311,Norwich,NORFOLK,2024-2025,46.1
139058,Thetford,NORFOLK,2024-2025,39
134440,Norfolk,NORFOLK,2024-2025,2.8
140815,Norwich,NORFOLK,2024-2025,53.7
148826,King's Lynn,NORFOLK,2024-2025,44.4
136202,King's Lynn,NORFOLK,2024-2025,39.1
121224,Norfolk,NORFOLK,2024-2025,38.2
146237,King's Lynn,NORFOLK,2024-2025,41.4
144018,Norwich,NORFOLK,2024-2025,50.8
137541,Great Yarmouth,NORFOLK,2024-2025,44.2
142396,Wisbech,NORFOLK,2024-2025,45.5
138918,Swaffham,NORFOLK,2024-2025,38.4
147505,North Walsham,NORFOLK,2024-2025,45.8
141268,Dereham,NORFOLK,2024-2025,41
121241,NA,NORFOLK,2024-2025,36.7
121242,Norwich,NORFOLK,2024-2025,12.1
137913,Norwich,NORFOLK,2024-2025,61.3
146144,Attleborough,NORFOLK,2024-2025,37.8
134455,Swaffham,NORFOLK,2024-2025,50.1
135650,Norwich,NORFOLK,2024-2025,36.7
136187,Gorleston,NORFOLK,2024-2025,47.3
136186,Norwich,NORFOLK,2024-2025,45.3
135250,Norwich,NORFOLK,2024-2025,16.5
138829,Norwich,NORFOLK,2024-2025,45.5
121252,Cromer,NORFOLK,2024-2025,5.4
140557,King's Lynn,NORFOLK,2024-2025,45.3
142058,Norwich,NORFOLK,2024-2025,39.1
121246,Thetford,NORFOLK,2024-2025,5.6
137621,Sheringham,NORFOLK,2024-2025,47.1
143520,Hunstanton,NORFOLK,2024-2025,40.3
136515,King's Lynn,NORFOLK,2024-2025,46.9
144359,Norwich,NORFOLK,2024-2025,45
141395,Norwich,NORFOLK,2024-2025,39.5
139487,Norwich,NORFOLK,2024-2025,49
136204,Thetford,NORFOLK,2024-2025,42.4
121245,Thetford,NORFOLK,2024-2025,35.4
143278,Norwich,NORFOLK,2024-2025,49.2
141086,Norwich,NORFOLK,2024-2025,49.8
137949,Thetford,NORFOLK,2024-2025,52
138138,Terrington St Clement,NORFOLK,2024-2025,7.7
144769,Norwich,NORFOLK,2024-2025,26.1
136481,Wymondham,NORFOLK,2024-2025,56.4
137461,Wymondham,NORFOLK,2024-2025,52.6
141236,Leiston,SUFFOLK,2024-2025,33.7
137459,Lowestoft,SUFFOLK,2024-2025,0.6
138274,Beccles,SUFFOLK,2024-2025,27.6
142759,Lowestoft,SUFFOLK,2024-2025,44.9
124879,Halesworth,SUFFOLK,2024-2025,3.3
138250,Brandon,SUFFOLK,2024-2025,42.4
136998,Bungay,SUFFOLK,2024-2025,41.7
136990,Bury St Edmunds,SUFFOLK,2024-2025,49.8
148541,Bungay,SUFFOLK,2024-2025,9
138162,Haverhill,SUFFOLK,2024-2025,40.3
124890,Ipswich,SUFFOLK,2024-2025,10.7
138373,Ipswich,SUFFOLK,2024-2025,33.9
139732,Haverhill,SUFFOLK,2024-2025,34.1
144214,Ipswich,SUFFOLK,2024-2025,45
136827,Ipswich,SUFFOLK,2024-2025,46.9
124886,Culford,SUFFOLK,2024-2025,31.3
136416,Stowmarket,SUFFOLK,2024-2025,55.7
137218,Colchester,SUFFOLK,2024-2025,47.8
137134,Lowestoft,SUFFOLK,2024-2025,39.5
136834,Woodbridge,SUFFOLK,2024-2025,43.8
137321,Felixstowe,SUFFOLK,2024-2025,38.5
124892,Stowmarket,SUFFOLK,2024-2025,37.5
124884,Woodbridge,SUFFOLK,2024-2025,43.5
136918,Ipswich,SUFFOLK,2024-2025,43.6
136271,Eye,SUFFOLK,2024-2025,53
137208,Ipswich,SUFFOLK,2024-2025,41.2
136453,Ipswich,SUFFOLK,2024-2025,37.6
124888,NA,SUFFOLK,2024-2025,48.6
124881,Ipswich,SUFFOLK,2024-2025,68.1
140047,Ixworth,SUFFOLK,2024-2025,44
136969,Ipswich,SUFFOLK,2024-2025,49.7
124856,Bury St Edmunds,SUFFOLK,2024-2025,45.4
135689,Ipswich,SUFFOLK,2024-2025,41.1
139867,Mildenhall,SUFFOLK,2024-2025,37.4
146332,Ipswich,SUFFOLK,2024-2025,10.9
140669,Newmarket,SUFFOLK,2024-2025,45.9
124840,Ipswich,SUFFOLK,2024-2025,50.6
127003,Mildenhall,SUFFOLK,2024-2025,3.7
134480,Colchester,SUFFOLK,2024-2025,58.2
139403,Lowestoft,SUFFOLK,2024-2025,40.5
137674,Ipswich,SUFFOLK,2024-2025,42.8
138506,Sudbury,SUFFOLK,2024-2025,39.6
146909,Lowestoft,SUFFOLK,2024-2025,38.4
137433,Bury St Edmunds,SUFFOLK,2024-2025,0.1
124889,Ipswich,SUFFOLK,2024-2025,50.9
143911,Sudbury,SUFFOLK,2024-2025,3.8
137849,Ipswich,SUFFOLK,2024-2025,46.9
149285,Bury St Edmunds,SUFFOLK,2024-2025,49.8
124868,Southwold,SUFFOLK,2024-2025,41.1
