postcode,postcode_area,avg_download,max_download,county
IP117EL,IP,46.6,80,SUFFOLK
IP117EN,IP,21.6,38.5,SUFFOLK
IP117EP,IP,19.8,40.5,SUFFOLK
IP117EQ,IP,39.1,77.4,SUFFOLK
IP117ER,IP,35.2,80,SUFFOLK
IP117ES,IP,29.4,40,SUFFOLK
IP117ET,IP,42.8,80,SUFFOLK
IP117EW,IP,38.3,80,SUFFOLK
IP117EX,IP,40.1,80,SUFFOLK
IP117EZ,IP,33.4,80,SUFFOLK
IP117FA,IP,36.6,80,SUFFOLK
IP117HA,IP,32.5,80,SUFFOLK
IP117HB,IP,32.5,74.6,SUFFOLK
IP117HD,IP,41.4,80,SUFFOLK
IP117HE,IP,38.5,80,SUFFOLK
IP117HF,IP,32.6,80,SUFFOLK
IP117HL,IP,29.5,52.7,SUFFOLK
IP117HN,IP,37.1,80,SUFFOLK
IP117HP,IP,21.4,40,SUFFOLK
IP117HQ,IP,38.7,53.9,SUFFOLK
IP117HR,IP,46.3,80,SUFFOLK
IP117HS,IP,32.3,80,SUFFOLK
IP117HT,IP,47,80,SUFFOLK
IP117HU,IP,42.6,80,SUFFOLK
IP117HW,IP,30.7,80,SUFFOLK
IP117HX,IP,32.5,73.1,SUFFOLK
IP117HY,IP,32,80,SUFFOLK
IP117HZ,IP,25.5,54.8,SUFFOLK
IP117JA,IP,25.7,45.5,SUFFOLK
IP117JB,IP,34.5,57.2,SUFFOLK
IP117JD,IP,34.1,80,SUFFOLK
IP117JF,IP,24.2,60,SUFFOLK
IP117JH,IP,33.6,60.4,SUFFOLK
IP117JJ,IP,24.5,54.8,SUFFOLK
IP117JL,IP,45.3,79.9,SUFFOLK
IP117JN,IP,46.8,77.6,SUFFOLK
IP117JP,IP,51.2,80,SUFFOLK
IP117JQ,IP,39.8,72.1,SUFFOLK
IP117JR,IP,25.3,67.5,SUFFOLK
IP117JS,IP,52.7,80,SUFFOLK
IP117JT,IP,40.4,80,SUFFOLK
IP117JU,IP,44.2,80,SUFFOLK
IP117JW,IP,42.2,80,SUFFOLK
IP117JX,IP,41.3,80,SUFFOLK
IP117JY,IP,45.4,73.2,SUFFOLK
IP117LA,IP,34,55,SUFFOLK
IP117LB,IP,30.4,49.2,SUFFOLK
IP117LD,IP,28.3,53.8,SUFFOLK
IP117LE,IP,26.5,52.1,SUFFOLK
IP117LF,IP,35.5,80,SUFFOLK
IP117LG,IP,35.7,62.8,SUFFOLK
IP117LH,IP,34,80,SUFFOLK
IP117LN,IP,21.3,72.7,SUFFOLK
IP117LQ,IP,37.7,60.5,SUFFOLK
IP117LS,IP,30.9,40,SUFFOLK
IP117LU,IP,21.2,48.9,SUFFOLK
IP117LW,IP,16.7,19.1,SUFFOLK
IP117LZ,IP,24.6,55,SUFFOLK
IP117NA,IP,43.6,80,SUFFOLK
IP117NB,IP,38.6,80,SUFFOLK
IP117ND,IP,31.2,70.8,SUFFOLK
IP117NE,IP,26.3,40,SUFFOLK
IP117NF,IP,44.2,79.9,SUFFOLK
IP117NG,IP,36.2,68.6,SUFFOLK
IP117NH,IP,25.1,50.8,SUFFOLK
IP117NJ,IP,25.4,56,SUFFOLK
IP117NN,IP,16.6,16.6,SUFFOLK
IP117NP,IP,40.6,80,SUFFOLK
IP117NR,IP,39.4,79.9,SUFFOLK
IP117NT,IP,33.2,77,SUFFOLK
